instant,datetime,season,year,month,hour,holiday,weekday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,total_count,recency,frequency,monetary
37,2011-01-02,Spring,2011,Jan,13,0,Sunday,0,Misty,0.36,0.3485,0.66,0.1343,11,64,75,729,75,75
38,2011-01-02,Spring,2011,Jan,14,0,Sunday,0,Light_rainsnow,0.36,0.3485,0.76,0.194,4,55,59,729,59,59
39,2011-01-02,Spring,2011,Jan,15,0,Sunday,0,Light_rainsnow,0.34,0.3333,0.81,0.1642,19,55,74,729,74,74
40,2011-01-02,Spring,2011,Jan,16,0,Sunday,0,Light_rainsnow,0.34,0.3333,0.71,0.1642,9,67,76,729,76,76
41,2011-01-02,Spring,2011,Jan,17,0,Sunday,0,Clear,0.34,0.3333,0.57,0.194,7,58,65,729,65,65
42,2011-01-02,Spring,2011,Jan,18,0,Sunday,0,Misty,0.36,0.3333,0.46,0.3284,10,43,53,729,53,53
43,2011-01-02,Spring,2011,Jan,19,0,Sunday,0,Clear,0.32,0.2879,0.42,0.4478,1,29,30,729,30,30
44,2011-01-02,Spring,2011,Jan,20,0,Sunday,0,Clear,0.3,0.2727,0.39,0.3582,5,17,22,729,22,22
45,2011-01-02,Spring,2011,Jan,21,0,Sunday,0,Clear,0.26,0.2273,0.44,0.3284,11,20,31,729,31,31
46,2011-01-02,Spring,2011,Jan,22,0,Sunday,0,Clear,0.24,0.2121,0.44,0.2985,0,9,9,729,9,9
47,2011-01-02,Spring,2011,Jan,23,0,Sunday,0,Clear,0.22,0.2273,0.47,0.1642,0,8,8,729,8,8
48,2011-01-03,Spring,2011,Jan,0,0,Monday,1,Clear,0.22,0.197,0.44,0.3582,0,5,5,728,5,5
49,2011-01-03,Spring,2011,Jan,1,0,Monday,1,Clear,0.2,0.1667,0.44,0.4179,0,2,2,728,2,2
50,2011-01-03,Spring,2011,Jan,4,0,Monday,1,Clear,0.16,0.1364,0.47,0.3881,0,1,1,728,1,1
51,2011-01-03,Spring,2011,Jan,5,0,Monday,1,Clear,0.16,0.1364,0.47,0.2836,0,3,3,728,3,3
52,2011-01-03,Spring,2011,Jan,6,0,Monday,1,Clear,0.14,0.1061,0.5,0.3881,0,30,30,728,30,30
53,2011-01-03,Spring,2011,Jan,7,0,Monday,1,Clear,0.14,0.1364,0.5,0.194,1,63,64,728,64,64
54,2011-01-03,Spring,2011,Jan,8,0,Monday,1,Clear,0.14,0.1212,0.5,0.2836,1,153,154,728,154,154
55,2011-01-03,Spring,2011,Jan,9,0,Monday,1,Clear,0.16,0.1364,0.43,0.3881,7,81,88,728,88,88
56,2011-01-03,Spring,2011,Jan,10,0,Monday,1,Clear,0.18,0.1667,0.43,0.2537,11,33,44,728,44,44
57,2011-01-03,Spring,2011,Jan,11,0,Monday,1,Clear,0.2,0.1818,0.4,0.3284,10,41,51,728,51,51
58,2011-01-03,Spring,2011,Jan,12,0,Monday,1,Clear,0.22,0.2121,0.35,0.2985,13,48,61,728,61,61
59,2011-01-03,Spring,2011,Jan,13,0,Monday,1,Clear,0.24,0.2121,0.35,0.2836,8,53,61,728,61,61
60,2011-01-03,Spring,2011,Jan,14,0,Monday,1,Clear,0.26,0.2424,0.3,0.2836,11,66,77,728,77,77
61,2011-01-03,Spring,2011,Jan,15,0,Monday,1,Clear,0.26,0.2424,0.3,0.2537,14,58,72,728,72,72
62,2011-01-03,Spring,2011,Jan,16,0,Monday,1,Clear,0.26,0.2424,0.3,0.2537,9,67,76,728,76,76
63,2011-01-03,Spring,2011,Jan,17,0,Monday,1,Clear,0.24,0.2273,0.3,0.2239,11,146,157,728,157,157
64,2011-01-03,Spring,2011,Jan,18,0,Monday,1,Clear,0.24,0.2576,0.32,0.1045,9,148,157,728,157,157
65,2011-01-03,Spring,2011,Jan,19,0,Monday,1,Clear,0.2,0.2576,0.47,0.0,8,102,110,728,110,110
66,2011-01-03,Spring,2011,Jan,20,0,Monday,1,Clear,0.2,0.2273,0.47,0.1045,3,49,52,728,52,52
67,2011-01-03,Spring,2011,Jan,21,0,Monday,1,Clear,0.18,0.197,0.64,0.1343,3,49,52,728,52,52
68,2011-01-03,Spring,2011,Jan,22,0,Monday,1,Clear,0.14,0.1515,0.69,0.1343,0,20,20,728,20,20
69,2011-01-03,Spring,2011,Jan,23,0,Monday,1,Clear,0.18,0.2121,0.55,0.1045,1,11,12,728,12,12
70,2011-01-04,Spring,2011,Jan,0,0,Tuesday,1,Clear,0.16,0.1818,0.55,0.1045,0,5,5,727,5,5
71,2011-01-04,Spring,2011,Jan,1,0,Tuesday,1,Clear,0.16,0.1818,0.59,0.1045,0,2,2,727,2,2
72,2011-01-04,Spring,2011,Jan,2,0,Tuesday,1,Clear,0.14,0.1515,0.63,0.1343,0,1,1,727,1,1
73,2011-01-04,Spring,2011,Jan,4,0,Tuesday,1,Clear,0.14,0.1818,0.63,0.0896,0,2,2,727,2,2
74,2011-01-04,Spring,2011,Jan,5,0,Tuesday,1,Clear,0.12,0.1515,0.68,0.1045,0,4,4,727,4,4
75,2011-01-04,Spring,2011,Jan,6,0,Tuesday,1,Clear,0.12,0.1515,0.74,0.1045,0,36,36,727,36,36
76,2011-01-04,Spring,2011,Jan,7,0,Tuesday,1,Clear,0.12,0.1515,0.74,0.1343,2,92,94,727,94,94
77,2011-01-04,Spring,2011,Jan,8,0,Tuesday,1,Clear,0.14,0.1515,0.69,0.1642,2,177,179,727,179,179
78,2011-01-04,Spring,2011,Jan,9,0,Tuesday,1,Clear,0.16,0.1515,0.64,0.2239,2,98,100,727,100,100
79,2011-01-04,Spring,2011,Jan,10,0,Tuesday,1,Misty,0.16,0.1364,0.69,0.3284,5,37,42,727,42,42
80,2011-01-04,Spring,2011,Jan,11,0,Tuesday,1,Clear,0.22,0.2121,0.51,0.2985,7,50,57,727,57,57
81,2011-01-04,Spring,2011,Jan,12,0,Tuesday,1,Clear,0.22,0.2273,0.51,0.1642,12,66,78,727,78,78
82,2011-01-04,Spring,2011,Jan,13,0,Tuesday,1,Clear,0.24,0.2273,0.56,0.194,18,79,97,727,97,97
83,2011-01-04,Spring,2011,Jan,14,0,Tuesday,1,Clear,0.26,0.2576,0.52,0.2239,9,54,63,727,63,63
84,2011-01-04,Spring,2011,Jan,15,0,Tuesday,1,Clear,0.28,0.2727,0.52,0.2537,17,48,65,727,65,65
85,2011-01-04,Spring,2011,Jan,16,0,Tuesday,1,Clear,0.3,0.2879,0.49,0.2537,15,68,83,727,83,83
86,2011-01-04,Spring,2011,Jan,17,0,Tuesday,1,Clear,0.28,0.2727,0.48,0.2239,10,202,212,727,212,212
87,2011-01-04,Spring,2011,Jan,18,0,Tuesday,1,Clear,0.26,0.2576,0.48,0.194,3,179,182,727,182,182
88,2011-01-04,Spring,2011,Jan,19,0,Tuesday,1,Clear,0.24,0.2576,0.48,0.1045,2,110,112,727,112,112
89,2011-01-04,Spring,2011,Jan,20,0,Tuesday,1,Clear,0.24,0.2576,0.48,0.1045,1,53,54,727,54,54
90,2011-01-04,Spring,2011,Jan,21,0,Tuesday,1,Clear,0.22,0.2727,0.64,0.0,0,48,48,727,48,48
91,2011-01-04,Spring,2011,Jan,22,0,Tuesday,1,Clear,0.22,0.2576,0.64,0.0896,1,34,35,727,35,35
92,2011-01-04,Spring,2011,Jan,23,0,Tuesday,1,Clear,0.2,0.2273,0.69,0.0896,2,9,11,727,11,11
93,2011-01-05,Spring,2011,Jan,0,0,Wednesday,1,Clear,0.2,0.2576,0.64,0.0,0,6,6,726,6,6
94,2011-01-05,Spring,2011,Jan,1,0,Wednesday,1,Clear,0.16,0.197,0.74,0.0896,0,6,6,726,6,6
95,2011-01-05,Spring,2011,Jan,2,0,Wednesday,1,Clear,0.16,0.197,0.74,0.0896,0,2,2,726,2,2
96,2011-01-05,Spring,2011,Jan,4,0,Wednesday,1,Clear,0.24,0.2273,0.48,0.2239,0,2,2,726,2,2
97,2011-01-05,Spring,2011,Jan,5,0,Wednesday,1,Clear,0.22,0.2273,0.47,0.1642,0,3,3,726,3,3
98,2011-01-05,Spring,2011,Jan,6,0,Wednesday,1,Clear,0.2,0.197,0.47,0.2239,0,33,33,726,33,33
99,2011-01-05,Spring,2011,Jan,7,0,Wednesday,1,Clear,0.18,0.1818,0.43,0.194,1,87,88,726,88,88
100,2011-01-05,Spring,2011,Jan,8,0,Wednesday,1,Clear,0.2,0.1818,0.4,0.2985,3,192,195,726,195,195
101,2011-01-05,Spring,2011,Jan,9,0,Wednesday,1,Clear,0.22,0.197,0.37,0.3284,6,109,115,726,115,115
102,2011-01-05,Spring,2011,Jan,10,0,Wednesday,1,Clear,0.22,0.197,0.37,0.3284,4,53,57,726,57,57
103,2011-01-05,Spring,2011,Jan,11,0,Wednesday,1,Clear,0.26,0.2273,0.33,0.3284,12,34,46,726,46,46
104,2011-01-05,Spring,2011,Jan,12,0,Wednesday,1,Clear,0.26,0.2273,0.33,0.3284,5,74,79,726,79,79
105,2011-01-05,Spring,2011,Jan,13,0,Wednesday,1,Clear,0.28,0.2576,0.3,0.2985,6,65,71,726,71,71
106,2011-01-05,Spring,2011,Jan,14,0,Wednesday,1,Clear,0.3,0.2879,0.28,0.194,10,52,62,726,62,62
107,2011-01-05,Spring,2011,Jan,15,0,Wednesday,1,Clear,0.3,0.2879,0.28,0.194,7,55,62,726,62,62
108,2011-01-05,Spring,2011,Jan,16,0,Wednesday,1,Clear,0.3,0.3182,0.28,0.0896,4,85,89,726,89,89
109,2011-01-05,Spring,2011,Jan,17,0,Wednesday,1,Clear,0.24,0.2273,0.38,0.194,4,186,190,726,190,190
110,2011-01-05,Spring,2011,Jan,18,0,Wednesday,1,Clear,0.24,0.2424,0.38,0.1343,3,166,169,726,169,169
111,2011-01-05,Spring,2011,Jan,19,0,Wednesday,1,Clear,0.24,0.2576,0.38,0.1045,5,127,132,726,132,132
112,2011-01-05,Spring,2011,Jan,20,0,Wednesday,1,Clear,0.22,0.2273,0.47,0.1642,7,82,89,726,89,89
113,2011-01-05,Spring,2011,Jan,21,0,Wednesday,1,Clear,0.2,0.197,0.51,0.194,3,40,43,726,43,43
114,2011-01-05,Spring,2011,Jan,22,0,Wednesday,1,Clear,0.18,0.197,0.55,0.1343,1,41,42,726,42,42
115,2011-01-05,Spring,2011,Jan,23,0,Wednesday,1,Clear,0.2,0.2576,0.47,0.0,1,18,19,726,19,19
116,2011-01-06,Spring,2011,Jan,0,0,Thursday,1,Clear,0.18,0.2424,0.55,0.0,0,11,11,725,11,11
117,2011-01-06,Spring,2011,Jan,1,0,Thursday,1,Clear,0.16,0.2273,0.64,0.0,0,4,4,725,4,4
118,2011-01-06,Spring,2011,Jan,2,0,Thursday,1,Clear,0.16,0.2273,0.64,0.0,0,2,2,725,2,2
119,2011-01-06,Spring,2011,Jan,4,0,Thursday,1,Misty,0.16,0.197,0.64,0.0896,0,1,1,725,1,1
120,2011-01-06,Spring,2011,Jan,5,0,Thursday,1,Misty,0.14,0.1818,0.69,0.0896,0,4,4,725,4,4
121,2011-01-06,Spring,2011,Jan,6,0,Thursday,1,Misty,0.14,0.1667,0.63,0.1045,0,36,36,725,36,36
122,2011-01-06,Spring,2011,Jan,7,0,Thursday,1,Misty,0.16,0.2273,0.59,0.0,0,95,95,725,95,95
123,2011-01-06,Spring,2011,Jan,8,0,Thursday,1,Clear,0.16,0.2273,0.59,0.0,3,216,219,725,219,219
124,2011-01-06,Spring,2011,Jan,9,0,Thursday,1,Misty,0.18,0.2424,0.51,0.0,6,116,122,725,122,122
125,2011-01-06,Spring,2011,Jan,10,0,Thursday,1,Clear,0.2,0.2576,0.47,0.0,3,42,45,725,45,45
126,2011-01-06,Spring,2011,Jan,11,0,Thursday,1,Clear,0.22,0.2576,0.44,0.0896,2,57,59,725,59,59
127,2011-01-06,Spring,2011,Jan,12,0,Thursday,1,Clear,0.26,0.2879,0.35,0.0,6,78,84,725,84,84
128,2011-01-06,Spring,2011,Jan,13,0,Thursday,1,Clear,0.26,0.2727,0.35,0.1045,12,55,67,725,67,67
129,2011-01-06,Spring,2011,Jan,14,0,Thursday,1,Clear,0.28,0.2727,0.36,0.1642,11,59,70,725,70,70
130,2011-01-06,Spring,2011,Jan,15,0,Thursday,1,Clear,0.28,0.2727,0.36,0.0,8,54,62,725,62,62
131,2011-01-06,Spring,2011,Jan,16,0,Thursday,1,Clear,0.26,0.2576,0.38,0.1642,12,74,86,725,86,86
132,2011-01-06,Spring,2011,Jan,17,0,Thursday,1,Clear,0.22,0.2273,0.51,0.1642,9,163,172,725,172,172
133,2011-01-06,Spring,2011,Jan,18,0,Thursday,1,Clear,0.22,0.2273,0.51,0.1343,5,158,163,725,163,163
134,2011-01-06,Spring,2011,Jan,19,0,Thursday,1,Clear,0.22,0.2576,0.55,0.0896,3,109,112,725,112,112
135,2011-01-06,Spring,2011,Jan,20,0,Thursday,1,Clear,0.2,0.2121,0.51,0.1642,3,66,69,725,69,69
136,2011-01-06,Spring,2011,Jan,21,0,Thursday,1,Misty,0.22,0.2121,0.55,0.2239,0,48,48,725,48,48
137,2011-01-06,Spring,2011,Jan,22,0,Thursday,1,Misty,0.22,0.2121,0.51,0.2836,1,51,52,725,52,52
138,2011-01-06,Spring,2011,Jan,23,0,Thursday,1,Misty,0.2,0.197,0.59,0.194,4,19,23,725,23,23
139,2011-01-07,Spring,2011,Jan,0,0,Friday,1,Misty,0.2,0.197,0.64,0.194,4,13,17,724,17,17
140,2011-01-07,Spring,2011,Jan,1,0,Friday,1,Misty,0.2,0.197,0.69,0.2239,2,5,7,724,7,7
141,2011-01-07,Spring,2011,Jan,2,0,Friday,1,Misty,0.2,0.197,0.69,0.2239,0,1,1,724,1,1
142,2011-01-07,Spring,2011,Jan,4,0,Friday,1,Misty,0.2,0.2121,0.69,0.1343,0,1,1,724,1,1
143,2011-01-07,Spring,2011,Jan,5,0,Friday,1,Light_rainsnow,0.22,0.2727,0.55,0.0,0,5,5,724,5,5
144,2011-01-07,Spring,2011,Jan,6,0,Friday,1,Misty,0.2,0.2576,0.69,0.0,8,26,34,724,34,34
145,2011-01-07,Spring,2011,Jan,7,0,Friday,1,Clear,0.2,0.2121,0.69,0.1343,8,76,84,724,84,84
146,2011-01-07,Spring,2011,Jan,8,0,Friday,1,Clear,0.2,0.197,0.51,0.2537,20,190,210,724,210,210
147,2011-01-07,Spring,2011,Jan,9,0,Friday,1,Clear,0.2,0.1818,0.47,0.2985,9,125,134,724,134,134
148,2011-01-07,Spring,2011,Jan,10,0,Friday,1,Clear,0.22,0.197,0.37,0.3284,16,47,63,724,63,63
149,2011-01-07,Spring,2011,Jan,11,0,Friday,1,Misty,0.2,0.197,0.4,0.2239,19,48,67,724,67,67
150,2011-01-07,Spring,2011,Jan,12,0,Friday,1,Misty,0.2,0.197,0.37,0.2537,9,50,59,724,59,59
151,2011-01-07,Spring,2011,Jan,13,0,Friday,1,Misty,0.2,0.1818,0.37,0.2836,9,64,73,724,73,73
152,2011-01-07,Spring,2011,Jan,14,0,Friday,1,Misty,0.2,0.197,0.4,0.2537,7,43,50,724,50,50
153,2011-01-07,Spring,2011,Jan,15,0,Friday,1,Misty,0.2,0.2121,0.37,0.1642,9,63,72,724,72,72
154,2011-01-07,Spring,2011,Jan,16,0,Friday,1,Misty,0.2,0.2121,0.37,0.1642,5,82,87,724,87,87
155,2011-01-07,Spring,2011,Jan,17,0,Friday,1,Misty,0.2,0.2576,0.37,0.0,9,178,187,724,187,187
156,2011-01-07,Spring,2011,Jan,18,0,Friday,1,Clear,0.2,0.2273,0.4,0.0896,7,116,123,724,123,123
157,2011-01-07,Spring,2011,Jan,19,0,Friday,1,Clear,0.16,0.197,0.55,0.0896,3,92,95,724,95,95
158,2011-01-07,Spring,2011,Jan,20,0,Friday,1,Clear,0.18,0.2121,0.47,0.1045,1,50,51,724,51,51
159,2011-01-07,Spring,2011,Jan,21,0,Friday,1,Clear,0.18,0.197,0.47,0.1343,0,39,39,724,39,39
160,2011-01-07,Spring,2011,Jan,22,0,Friday,1,Misty,0.18,0.197,0.43,0.1642,2,34,36,724,36,36
161,2011-01-07,Spring,2011,Jan,23,0,Friday,1,Misty,0.18,0.197,0.51,0.1642,1,14,15,724,15,15
162,2011-01-08,Spring,2011,Jan,0,0,Saturday,0,Misty,0.18,0.197,0.51,0.1642,1,24,25,723,25,25
163,2011-01-08,Spring,2011,Jan,1,0,Saturday,0,Misty,0.18,0.2121,0.55,0.0896,1,15,16,723,16,16
164,2011-01-08,Spring,2011,Jan,2,0,Saturday,0,Misty,0.18,0.2424,0.55,0.0,3,13,16,723,16,16
165,2011-01-08,Spring,2011,Jan,3,0,Saturday,0,Light_rainsnow,0.18,0.197,0.55,0.1642,0,7,7,723,7,7
166,2011-01-08,Spring,2011,Jan,4,0,Saturday,0,Light_rainsnow,0.18,0.197,0.55,0.1642,0,1,1,723,1,1
167,2011-01-08,Spring,2011,Jan,5,0,Saturday,0,Misty,0.16,0.1667,0.74,0.1642,0,5,5,723,5,5
168,2011-01-08,Spring,2011,Jan,6,0,Saturday,0,Misty,0.16,0.1667,0.74,0.1642,0,2,2,723,2,2
169,2011-01-08,Spring,2011,Jan,7,0,Saturday,0,Misty,0.16,0.1818,0.74,0.1045,1,8,9,723,9,9
170,2011-01-08,Spring,2011,Jan,8,0,Saturday,0,Light_rainsnow,0.16,0.1818,0.93,0.1045,0,15,15,723,15,15
171,2011-01-08,Spring,2011,Jan,9,0,Saturday,0,Light_rainsnow,0.16,0.1818,0.93,0.1045,0,20,20,723,20,20
172,2011-01-08,Spring,2011,Jan,10,0,Saturday,0,Misty,0.18,0.197,0.8,0.1642,5,56,61,723,61,61
173,2011-01-08,Spring,2011,Jan,11,0,Saturday,0,Misty,0.2,0.1818,0.69,0.3881,2,60,62,723,62,62
174,2011-01-08,Spring,2011,Jan,12,0,Saturday,0,Misty,0.2,0.1818,0.59,0.3582,8,90,98,723,98,98
175,2011-01-08,Spring,2011,Jan,13,0,Saturday,0,Clear,0.2,0.1818,0.44,0.3284,7,95,102,723,102,102
176,2011-01-08,Spring,2011,Jan,14,0,Saturday,0,Clear,0.2,0.1667,0.32,0.4925,12,83,95,723,95,95
177,2011-01-08,Spring,2011,Jan,15,0,Saturday,0,Clear,0.2,0.1667,0.32,0.4478,5,69,74,723,74,74
178,2011-01-08,Spring,2011,Jan,16,0,Saturday,0,Clear,0.18,0.1364,0.29,0.4478,8,68,76,723,76,76
179,2011-01-08,Spring,2011,Jan,17,0,Saturday,0,Clear,0.16,0.1212,0.37,0.5522,5,64,69,723,69,69
180,2011-01-08,Spring,2011,Jan,18,0,Saturday,0,Clear,0.14,0.1212,0.39,0.2985,3,52,55,723,55,55
181,2011-01-08,Spring,2011,Jan,19,0,Saturday,0,Clear,0.14,0.1212,0.36,0.2537,4,26,30,723,30,30
182,2011-01-08,Spring,2011,Jan,20,0,Saturday,0,Clear,0.12,0.1212,0.36,0.2537,0,28,28,723,28,28
183,2011-01-08,Spring,2011,Jan,21,0,Saturday,0,Clear,0.12,0.1061,0.39,0.3582,2,35,37,723,37,37
184,2011-01-08,Spring,2011,Jan,22,0,Saturday,0,Clear,0.12,0.1061,0.36,0.3881,1,33,34,723,34,34
185,2011-01-08,Spring,2011,Jan,23,0,Saturday,0,Clear,0.1,0.0606,0.39,0.4478,0,22,22,723,22,22
186,2011-01-09,Spring,2011,Jan,0,0,Sunday,0,Clear,0.1,0.0758,0.42,0.3881,1,24,25,722,25,25
187,2011-01-09,Spring,2011,Jan,1,0,Sunday,0,Clear,0.1,0.0606,0.42,0.4627,0,12,12,722,12,12
188,2011-01-09,Spring,2011,Jan,2,0,Sunday,0,Clear,0.1,0.0606,0.46,0.4627,0,11,11,722,11,11
189,2011-01-09,Spring,2011,Jan,3,0,Sunday,0,Clear,0.1,0.0758,0.46,0.4179,0,4,4,722,4,4
190,2011-01-09,Spring,2011,Jan,4,0,Sunday,0,Clear,0.08,0.0909,0.53,0.194,0,1,1,722,1,1
191,2011-01-09,Spring,2011,Jan,5,0,Sunday,0,Clear,0.08,0.0909,0.53,0.194,0,1,1,722,1,1
192,2011-01-09,Spring,2011,Jan,6,0,Sunday,0,Clear,0.1,0.0909,0.49,0.2836,0,1,1,722,1,1
193,2011-01-09,Spring,2011,Jan,7,0,Sunday,0,Clear,0.08,0.0909,0.53,0.194,1,5,6,722,6,6
194,2011-01-09,Spring,2011,Jan,8,0,Sunday,0,Clear,0.1,0.0909,0.49,0.2836,0,10,10,722,10,10
195,2011-01-09,Spring,2011,Jan,9,0,Sunday,0,Clear,0.12,0.0758,0.46,0.5224,0,19,19,722,19,19
196,2011-01-09,Spring,2011,Jan,10,0,Sunday,0,Clear,0.14,0.1061,0.43,0.3881,0,49,49,722,49,49
197,2011-01-09,Spring,2011,Jan,11,0,Sunday,0,Clear,0.16,0.1212,0.4,0.5224,2,47,49,722,49,49
198,2011-01-09,Spring,2011,Jan,12,0,Sunday,0,Clear,0.18,0.1364,0.37,0.4478,4,79,83,722,83,83
199,2011-01-09,Spring,2011,Jan,13,0,Sunday,0,Clear,0.2,0.1667,0.34,0.4478,6,69,75,722,75,75
200,2011-01-09,Spring,2011,Jan,14,0,Sunday,0,Clear,0.22,0.1818,0.32,0.4627,8,64,72,722,72,72
201,2011-01-09,Spring,2011,Jan,15,0,Sunday,0,Clear,0.22,0.197,0.35,0.3582,5,77,82,722,82,82
202,2011-01-09,Spring,2011,Jan,16,0,Sunday,0,Clear,0.2,0.1667,0.34,0.4478,13,79,92,722,92,92
203,2011-01-09,Spring,2011,Jan,17,0,Sunday,0,Clear,0.18,0.1515,0.37,0.3881,3,59,62,722,62,62
204,2011-01-09,Spring,2011,Jan,18,0,Sunday,0,Clear,0.16,0.1364,0.4,0.3284,4,44,48,722,48,48
205,2011-01-09,Spring,2011,Jan,19,0,Sunday,0,Clear,0.16,0.1364,0.43,0.3284,1,40,41,722,41,41
206,2011-01-09,Spring,2011,Jan,20,0,Sunday,0,Clear,0.14,0.1212,0.46,0.2537,0,38,38,722,38,38
207,2011-01-09,Spring,2011,Jan,21,0,Sunday,0,Clear,0.14,0.1061,0.46,0.4179,1,19,20,722,20,20
208,2011-01-09,Spring,2011,Jan,22,0,Sunday,0,Clear,0.14,0.1212,0.46,0.2985,5,10,15,722,15,15
209,2011-01-09,Spring,2011,Jan,23,0,Sunday,0,Clear,0.12,0.1364,0.5,0.194,0,6,6,722,6,6
210,2011-01-10,Spring,2011,Jan,0,0,Monday,1,Clear,0.12,0.1212,0.5,0.2836,2,3,5,721,5,5
211,2011-01-10,Spring,2011,Jan,1,0,Monday,1,Clear,0.12,0.1212,0.5,0.2836,1,0,1,721,1,1
212,2011-01-10,Spring,2011,Jan,2,0,Monday,1,Clear,0.12,0.1212,0.5,0.2239,0,3,3,721,3,3
213,2011-01-10,Spring,2011,Jan,3,0,Monday,1,Clear,0.12,0.1212,0.5,0.2239,0,1,1,721,1,1
